OBJECTID,agency_id,route_id,bus_direct,agency_sto,bus_headsi,stop_name_,bus_total_,bus_peak_p,stop_descr,project_st,project_de,system_typ,bus_headwa,min_headwa
3212,SF,44,0,SF-44-0,Bayview District,16416,21,AM Peak,NA,Existing/Built,NA,Bus,12,5
3213,SF,44,0,SF-44-0,Bayview District,16416,27,PM Peak,NA,Existing/Built,NA,Bus,9,4
3214,SF,44,0,SF-44-0,Bayview District,16416,27,PM Peak,NA,Existing/Built,NA,Bus,9,4
3215,SF,44,0,SF-44-0,Bayview District,16416,27,PM Peak,NA,Existing/Built,NA,Bus,9,4
3216,SF,44,0,SF-44-0,Bayview District,16419,21,AM Peak,NA,Existing/Built,NA,Bus,12,5
3217,SF,44,0,SF-44-0,Bayview District,16419,21,AM Peak,NA,Existing/Built,NA,Bus,12,5
3218,SF,44,0,SF-44-0,Bayview District,16419,27,PM Peak,NA,Existing/Built,NA,Bus,9,4
3219,SF,44,0,SF-44-0,Bayview District,16419,27,PM Peak,NA,Existing/Built,NA,Bus,9,4
3220,SF,44,0,SF-44-0,Bayview District,16419,27,PM Peak,NA,Existing/Built,NA,Bus,9,4
3221,SF,44,0,SF-44-0,Bayview District,16421,21,AM Peak,NA,Existing/Built,NA,Bus,12,5
3222,SF,44,0,SF-44-0,Bayview District,16421,27,PM Peak,NA,Existing/Built,NA,Bus,9,4
3223,SF,44,0,SF-44-0,Bayview District,16421,27,PM Peak,NA,Existing/Built,NA,Bus,9,4
3224,SF,44,0,SF-44-0,Bayview District,16421,27,PM Peak,NA,Existing/Built,NA,Bus,9,4
