OBJECTID,agency_id,route_id,bus_direct,agency_sto,bus_headsi,stop_name_,bus_total_,bus_peak_p,stop_descr,project_st,project_de,system_typ,bus_headwa,min_headwa
3025,SF,43,1,SF-43-1,Fort Mason,14854,24,AM Peak,NA,Existing/Built,NA,Bus,10,5
3026,SF,43,1,SF-43-1,Fort Mason,14854,24,PM Peak,NA,Existing/Built,NA,Bus,10,4
3027,SF,43,1,SF-43-1,Fort Mason,14876,24,AM Peak,NA,Existing/Built,NA,Bus,10,5
3028,SF,43,1,SF-43-1,Fort Mason,14876,24,PM Peak,NA,Existing/Built,NA,Bus,10,4
3029,SF,43,1,SF-43-1,Fort Mason,14879,24,AM Peak,NA,Existing/Built,NA,Bus,10,5
3030,SF,43,1,SF-43-1,Fort Mason,14879,24,PM Peak,NA,Existing/Built,NA,Bus,10,4
3031,SF,43,1,SF-43-1,Fort Mason,14881,24,AM Peak,NA,Existing/Built,NA,Bus,10,5
3032,SF,43,1,SF-43-1,Fort Mason,14881,24,PM Peak,NA,Existing/Built,NA,Bus,10,4
3033,SF,43,1,SF-43-1,Fort Mason,14884,24,AM Peak,NA,Existing/Built,NA,Bus,10,5
3034,SF,43,1,SF-43-1,Fort Mason,14884,24,PM Peak,NA,Existing/Built,NA,Bus,10,4
3035,SF,43,1,SF-43-1,Fort Mason,14886,24,AM Peak,NA,Existing/Built,NA,Bus,10,5
3036,SF,43,1,SF-43-1,Fort Mason,14886,24,PM Peak,NA,Existing/Built,NA,Bus,10,4
3037,SF,43,1,SF-43-1,Fort Mason,14892,24,AM Peak,NA,Existing/Built,NA,Bus,10,5
3038,SF,43,1,SF-43-1,Fort Mason,14892,24,PM Peak,NA,Existing/Built,NA,Bus,10,4
3039,SF,43,1,SF-43-1,Fort Mason,14947,24,AM Peak,NA,Existing/Built,NA,Bus,10,5
3040,SF,43,1,SF-43-1,Fort Mason,14947,24,PM Peak,NA,Existing/Built,NA,Bus,10,4
3041,SF,43,1,SF-43-1,Fort Mason,15189,24,AM Peak,NA,Existing/Built,NA,Bus,10,5
3042,SF,43,1,SF-43-1,Fort Mason,15189,24,PM Peak,NA,Existing/Built,NA,Bus,10,4
3043,SF,43,1,SF-43-1,Fort Mason,15192,24,AM Peak,NA,Existing/Built,NA,Bus,10,5
3044,SF,43,1,SF-43-1,Fort Mason,15192,24,PM Peak,NA,Existing/Built,NA,Bus,10,4
3045,SF,43,1,SF-43-1,Fort Mason,15243,24,AM Peak,NA,Existing/Built,NA,Bus,10,5
3046,SF,43,1,SF-43-1,Fort Mason,15243,24,PM Peak,NA,Existing/Built,NA,Bus,10,4
3047,SF,43,1,SF-43-1,Fort Mason,15244,24,AM Peak,NA,Existing/Built,NA,Bus,10,5
